Date,Open,High,Low,Close,Volume,Change
2026-04-14,208000,210000,205500,206500,23672078,0.027363184079602032
2026-04-15,215000,215500,210000,211000,24092884,0.021791767554479424
2026-04-16,212000,218000,210500,217500,21499788,0.0308056872037914
2026-04-17,217000,218000,215000,216000,18079322,-0.006896551724137945
2026-04-20,214500,219000,213000,214500,17107741,-0.00694444444444442
2026-04-21,218000,220000,216000,219000,16752132,0.020979020979021046
2026-04-22,218500,222500,215500,217500,16823480,-0.006849315068493178
2026-04-23,223000,229500,216000,224500,34525485,0.03218390804597693
2026-04-24,224000,225000,216500,219500,19626666,-0.022271714922049046
2026-04-27,220000,226000,218500,224500,22870374,0.02277904328018221
2026-04-28,224000,226000,221500,222000,18373810,-0.011135857461024523
